year,month,county,party,registered,source_url
2024,3,PR. GEORGE'S,Working Class,1534,local://MSR-2024_03.pdf
2024,3,QUEEN ANNE'S,Working Class,233,local://MSR-2024_03.pdf
2024,3,ST. MARY'S,Working Class,490,local://MSR-2024_03.pdf
2024,3,SOMERSET,Working Class,66,local://MSR-2024_03.pdf
2024,3,TALBOT,Working Class,160,local://MSR-2024_03.pdf
2024,3,WASHINGTON,Working Class,655,local://MSR-2024_03.pdf
2024,3,WICOMICO,Working Class,361,local://MSR-2024_03.pdf
2024,3,WORCESTER,Working Class,237,local://MSR-2024_03.pdf
2024,3,ALLEGANY,Unaffiliated,9001,local://MSR-2024_03.pdf
2024,3,ANNE ARUNDEL,Unaffiliated,105269,local://MSR-2024_03.pdf
2024,3,BALTIMORE CITY,Unaffiliated,62566,local://MSR-2024_03.pdf
2024,3,BALTIMORE CO.,Unaffiliated,117601,local://MSR-2024_03.pdf
2024,3,CALVERT,Unaffiliated,16404,local://MSR-2024_03.pdf
2024,3,CAROLINE,Unaffiliated,4864,local://MSR-2024_03.pdf
2024,3,CARROLL,Unaffiliated,30368,local://MSR-2024_03.pdf
2024,3,CECIL,Unaffiliated,17604,local://MSR-2024_03.pdf
2024,3,CHARLES,Unaffiliated,24372,local://MSR-2024_03.pdf
2024,3,DORCHESTER,Unaffiliated,4221,local://MSR-2024_03.pdf
2024,3,FREDERICK,Unaffiliated,52948,local://MSR-2024_03.pdf
2024,3,GARRETT,Unaffiliated,3090,local://MSR-2024_03.pdf
2024,3,HARFORD,Unaffiliated,44691,local://MSR-2024_03.pdf
